Artificial Sports Lighting,Discuss Throw Facility,Facility ID,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Oval Track Lanes,Oval Track Length,Pole Vault Facility,Shot Put Facility,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Shared Flag,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Sprint Straight Length,Steeplechase Water Jump,Straight Track Lanes,Track Lanes,Track Length,Track Surface Type,Triple Jump Facility,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,1,2090454,0,1,,,,1,1,,,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,8,110.0,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1006,1,3,'J' shaped track ,1,,,,,,2023-07-14 16:08:18,0,12,1,1,1004015,1,2011,0,,449398,118171,50.96085,-1.297981,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,1,2093349,1,1,,,11,1,1,8,400.0,1,0,,0,0,0,0,,0,0,0,,0,0,0,100,1,8,,,18,1,1,1,2009,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,Everyone Active,,,2024-02-23 10:08:10,0,12,1,1,1003596,2,2009,0,,423299,323828,52.81152,-1.655764,Commercial Management,Commercial,Sports Club / Community Association,Public Access
1,1,2097649,1,1,,,11,1,1,6,400.0,1,0,,0,0,0,0,,0,0,0,,0,0,0,110,0,6,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2024-06-03 09:23:35,0,12,1,1,1200962,2,2009,0,,341003,397746,53.47314,-2.890302,School/College/University (in house),Education,Sports Club / Community Association,Public Access
0,1,2098054,1,1,,,11,1,1,6,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,110,0,6,,,18,0,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2023-11-29 12:08:06,0,12,1,1,1011514,2,2001,0,,388572,263091,52.26588,-2.168861,Trust,Trust,Sports Club / Community Association,Public Access
0,0,2098527,0,0,,,11,0,0,4,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,100,0,4,,,19,0,1,0,,0,101,1,0,0,0,1,,0,0,0,1,0,1004,1,5,,1,,,,2022-03-31,,2023-02-22 12:17:57,0,12,1,1,6001694,1,2000,1,,435284,400244,53.49774,-1.469585,Community Organisation,Others,Sports Club / Community Association,Public Access
0,0,2204295,0,0,,,11,0,0,7,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,128,0,8,,,19,0,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2024-02-20 18:27:26,1,12,1,1,1200823,2,1980,0,2016,364804,372534,53.24867,-2.528914,Other,Others,Private Use,Private
1,1,2204716,1,1,,,11,1,1,6,400.0,1,1,,0,0,1,1,,50,0,0,,0,0,50,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2023-06-29 11:16:31,0,12,1,1,1018680,2,2006,0,,334717,398422,53.47847,-2.985131,Local Authority (in house),Local Authority,Registered Membership use,Public Access
1,0,2206418,0,0,,,11,0,0,8,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,1,2007,2,101,1,1,1,1,1,,1,1,0,0,1,1004,1,5,,0,,,,2017-03-09,,2022-01-11 15:13:10,0,12,1,1,1201475,2,1973,0,,348539,405976,53.5479,-2.778133,School/College/University (in house),Education,Sports Club / Community Association,Public Access
0,0,2208372,0,0,,,11,0,0,3,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,0,0,,2,101,1,1,1,1,1,,0,1,1,0,1,1004,1,5,,0,,,,2016-09-30,,2023-06-01 10:19:44,1,12,1,1,1202005,2,1965,0,2008,527873,183125,51.53257,-0.1578211,Other,Others,Sports Club / Community Association,Public Access
0,0,2211484,0,0,,,11,0,0,8,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,100,0,6,,,11,0,1,0,,0,,1,1,1,1,1,Parking: 8 Bays,1,1,0,0,1,1004,1,3,Marked out during summer times.,1,,,,,,2023-07-26 15:01:17,1,12,1,1,1203749,2,1853,0,2005,529021,117571,50.94315,-0.1648751,School/College/University (in house),Education,Sports Club / Community Association,Public Access
