Dimensions Estimate,Facility ID,Length,Area,Width,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,2008743,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-02-06 10:01:04,0,12,1,1,1011648,2,2003,0,,438469,389402,53.40007,-1.422888,Trust,Trust,Sports Club / Community Association,Public Access
0,2008744,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-02-06 10:01:04,0,12,1,1,1011648,2,2003,0,,438469,389402,53.40007,-1.422888,Trust,Trust,Sports Club / Community Association,Public Access
0,2008745,57.0,1539.0,27.0,1,0,,0,,1,1,1,1,1,Emergency Exits: Ramps,1,1,1,1,1,10001,10,3,Check website opening times as varies week to week. ,1,,,,,,2024-03-25 09:05:14,1,12,1,1,1011649,2,1964,0,2009,414673,283085,52.44555,-1.785543,Commercial Management,Commercial,Sports Club / Community Association,Public Access
0,2008746,52.0,1612.0,31.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 09:15:26,1,12,1,1,1011650,2,1978,0,2007,579437,166298,51.3674,0.5763672,Commercial Management,Commercial,Pay and Play,Public Access
0,2008747,60.0,1800.0,30.0,1,2,,0,999,1,1,1,1,1,Hearing loop available at reception,1,1,1,1,1,10001,10,5,,1,,,,2009-11-25,,2023-04-05 12:30:51,1,12,1,1,1011651,2,1931,0,1982,530029,171082,51.42384,-0.1311808,Not Known,Not Known,Pay and Play,Public Access
0,2008749,44.0,968.0,22.0,0,0,,2,201,1,1,1,1,1,"Parking: 12 Designated bays, 2 drop-off points, Emergency Exits: Flashing alarms in all areas",1,1,1,1,1,10001,10,5,,1,,,,2017-10-01,,2022-01-09 20:41:23,0,12,1,1,1011653,2,1991,0,,459566,92910,50.73275,-1.157324,Trust,Trust,Pay and Play,Public Access
0,2008750,66.0,1716.0,26.0,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,10001,10,5,,1,,,,2013-04-01,,2014-01-16 00:00:00,1,12,1,1,1011654,3,1987,0,2004,551274,187903,51.56972,0.181369,Not Known,Not Known,Pay and Play,Public Access
0,2008752,55.0,1320.0,24.0,1,0,,0,,1,1,1,1,1,,0,1,1,1,1,10001,10,3,,1,,,,,,2024-02-14 14:14:55,0,12,1,1,1011656,2,1965,0,,416134,432701,53.79039,-1.756585,Commercial Management,Commercial,Pay and Play,Public Access
0,2008754,56.0,1456.0,26.0,1,1,2000,1,,1,1,1,1,1,Ramps can be used to enter the ice,1,1,1,1,1,10001,10,3,,1,,,,,,2023-10-09 08:24:00,1,12,1,1,1011658,2,1990,0,2020,529602,190067,51.59455,-0.1303542,Commercial Management,Commercial,Pay and Play,Public Access
0,2027589,36.0,648.0,18.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Everyone Active,,,2024-05-29 11:20:26,0,12,1,1,1014289,2,2008,0,,449085,358994,53.12588,-1.267926,Commercial Management,Commercial,Pay and Play,Public Access
0,2028057,50.0,1000.0,20.0,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-02-14 14:05:33,1,12,1,1,1011614,2,2003,0,2005,420970,303556,52.62938,-1.691613,Commercial Management,Commercial,Pay and Play,Public Access
0,2038457,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 10:54:50,0,12,1,1,1018755,2,2007,0,,377016,387813,53.38668,-2.347025,Commercial Management,Commercial,Sports Club / Community Association,Public Access
0,2074390,20.0,400.0,20.0,0,0,,0,201,1,0,1,1,1,,1,1,1,1,1,10001,10,5,,1,,,,2022-03-27,,2022-04-01 11:38:47,0,12,1,1,1036639,2,2007,0,,397800,308226,52.67176,-2.033962,Commercial Management,Commercial,Pay and Play,Public Access
0,4008737,54.0,1404.0,26.0,1,1,2003,2,999,0,0,0,0,0,,0,0,0,0,0,10001,10,5,,1,,,,2005-06-01,,2007-07-18 00:00:00,1,12,1,1,1011642,3,1965,0,2005,435856,386331,53.37265,-1.462528,Not Known,Not Known,Pay and Play,Public Access
