Artificial Sports Lighting,Automatic Start Gate,Bike Wash,Black Trails,Blue Trails,Extreme Trails,Facility ID,Finish Straight Length,Finish Straight Width,Green Trails,Length of All Trails,Length of Black Trails,Length of Blue Trails,Length of Extreme Trails,Length of Green Trails,Length of Red Trails,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,No of Persons Start Gate,Number of Straights,Number of Turns,Overall Width,Radius of Turns/Bends,Red Trails,Start Gate,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Surface,Timing System,Total Length,Width of Turns/Bends,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,,,,,,30009294,,,,,,,,,,,1.0,1.0,,,,5.5,,,,,,,,12,,87.0,,0,0,,0,201,1,1,1,1,1,,1,1,1,1,1,20006,20,5,,1,,,,2020-12-03,2017-02-15 15:20:52,2020-12-04 03:53:55,0,12,1,1,1005444,1,1977,0,,414594,185428,51.56754,-1.790828,Sport Club,Others,Sports Club / Community Association,Public Access
,,0,0,0,0,30009295,,,1,11.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,0,,,,,,,,,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20005,20,3,,1,,,,,2017-02-15 15:49:54,2024-02-07 14:52:50,0,12,1,1,1045094,1,1999,1,,390940,89983,50.7094,-2.129671,Other,Others,Free Public Access,Public Access
0,0,,,,,30009298,,,,,,,,,,,,,,,,6.0,,,1,,,,,17,,100.0,,1,0,,0,,1,0,0,1,1,,0,0,1,1,0,20004,20,3,Length 300m and width 10m,1,,,,,2017-02-15 16:19:40,2023-09-22 12:30:18,1,12,1,1,6004292,1,1983,0,2013,573876,109001,50.85439,0.4689595,Local Authority (in house),Local Authority,Free Public Access,Public Access
1,0,,,,,30009299,60.0,6.0,,,,,,,,,,,8,4,4,6.0,,,1,10.0,10.0,70.0,10.0,9,,400.0,5.0,0,0,,0,,1,1,1,1,1,,0,1,1,1,1,20003,20,3,,1,,,,,2017-02-15 16:42:28,2023-07-27 11:14:13,0,12,1,1,30010935,2,2013,0,,532524,177566,51.48154,-0.09289137,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
0,0,,,,,30009301,51.0,6.0,,,,,,,,,,,5,4,3,6.0,,,1,1.5,8.0,53.0,6.0,9,,350.0,6.0,1,0,,0,,1,0,1,1,1,,0,0,0,0,0,20003,20,3,,1,,,,,2017-02-15 16:55:04,2024-04-26 11:26:55,1,12,1,1,1202425,1,1990,0,2013,531976,174272,51.45206,-0.1020056,Local Authority (in house),Local Authority,Free Public Access,Public Access
,,0,0,0,0,30009303,,,0,13.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,1,,,,,,,,,,0,0,,0,,1,1,0,1,1,,1,0,0,0,1,20005,20,3,,1,,,,,2017-02-16 09:20:40,2023-06-07 09:55:23,1,12,1,1,1045198,1,2006,0,2012,572297,133665,51.07644,0.4582181,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,1,,,,,30009307,62.0,6.0,,,,,,,,,,,8,4,3,6.0,,,1,1.5,8.0,65.0,11.0,17,,350.0,6.0,0,0,,0,,1,0,0,1,1,,0,0,0,0,0,20003,20,3,,1,,,,,2017-02-16 10:07:50,2024-02-27 10:58:29,0,12,1,1,1044513,1,2011,0,,289308,61328,50.44131,-3.560205,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,0,,,,,30009310,,,,,,,,,,,,,,,,3.0,,,0,,,,,16,,100.0,,0,0,,0,,1,1,0,0,0,,0,0,0,0,1,20004,20,3,,1,,,,,2017-02-16 10:20:13,2023-08-24 15:23:46,0,12,1,1,6004007,1,2011,0,,532535,190306,51.59603,-0.08793675,Sport Club,Others,Free Public Access,Public Access
0,0,,,,,30009312,,,,,,,,,,,,,,,,4.0,,,1,,,,,3,,100.0,,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,20004,20,3,,1,,,,,2017-02-16 11:38:32,2023-11-29 12:13:42,0,12,1,1,6001637,1,2011,0,,542037,177152,51.47551,0.0438551,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,0,,,,,30009313,,,,,,,,,,,,,,,,2.0,,,1,,,,,9,,100.0,,0,0,,0,,1,0,0,0,0,,0,0,0,0,0,20004,20,3,,1,,,,,2017-02-16 11:40:57,2024-01-02 14:27:22,0,12,1,1,6002049,1,2007,0,,368764,308376,52.6722,-2.463365,Local Authority (in house),Local Authority,Free Public Access,Public Access
