Artificial Sports Lighting,Facility ID,Freestyle Features,Moguls,Skiable Length,Skiable Width,Slope Type,Surface Type,Tow,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,2009236,4,2,40.0,15.0,1,15,1,0,0,,0,,1,0,1,1,0,,0,1,1,1,1,11001,11,3,,1,,,,,,2023-08-29 15:56:56,1,12,1,1,1011619,2,1965,0,2004,377208,439012,53.84686,-2.347906,Commercial Management,Commercial,Registered Membership use,Public Access
1,2009237,4,2,155.0,16.0,3,15,1,0,0,,0,,1,0,1,1,0,,0,1,1,1,1,11001,11,3,,1,,,,,,2023-08-29 15:56:56,1,12,1,1,1011619,2,1965,0,2010,377208,439012,53.84686,-2.347906,Commercial Management,Commercial,Registered Membership use,Public Access
1,2009238,4,2,110.0,25.0,2,15,2,0,0,,0,,1,0,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-02-29 09:53:09,1,12,1,1,1011623,2,2002,0,2011,557230,109476,50.86342,0.2328759,Commercial Management,Commercial,Pay and Play,Public Access
1,2009239,4,2,110.0,50.0,2,15,1,0,0,,2,101,1,0,1,1,1,,1,1,1,1,1,11001,11,5,,1,,,,2015-12-29,,2024-02-29 09:53:10,1,12,1,1,1011623,2,2002,0,2011,557230,109476,50.86342,0.2328759,Commercial Management,Commercial,Pay and Play,Public Access
1,2009242,4,2,45.0,4.0,10,15,1,1,0,,0,,1,1,1,1,1,Finding/Reaching Entrance: Ramp,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-30 17:00:58,0,12,1,1,1011626,2,1988,0,,412879,99452,50.79448,-1.818617,Commercial Management,Commercial,Pay and Play,Public Access
1,2009243,4,2,60.0,5.0,2,15,1,1,1,2014,0,,1,1,1,1,1,Finding/Reaching Entrance: Ramp,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-30 17:00:59,1,12,1,1,1011626,2,1988,0,2014,412879,99452,50.79448,-1.818617,Commercial Management,Commercial,Pay and Play,Public Access
1,2009244,4,2,110.0,45.0,3,15,1,1,1,2014,0,,1,1,1,1,1,Finding/Reaching Entrance: Ramp,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-30 17:01:00,1,12,1,1,1011626,2,1988,0,2014,412879,99452,50.79448,-1.818617,Commercial Management,Commercial,Pay and Play,Public Access
0,2009245,4,2,500.0,500.0,2,15,1,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,11002,11,5,,1,2012-11-01,,,2014-09-01,,2015-08-05 00:00:00,0,12,1,1,1011627,3,1990,0,,379300,535370,54.71292,-2.322824,Not Known,Not Known,Pay and Play,Public Access
1,2009246,4,2,68.0,12.0,1,15,1,0,0,,0,,1,0,1,1,1,,0,1,1,1,1,11001,11,3,,1,,,,,,2023-09-15 10:05:23,1,12,1,1,1011628,2,1975,0,2006,487389,151575,51.25665,-0.7490615,Trust,Trust,Pay and Play,Public Access
1,2009247,4,2,75.0,9.0,1,15,1,0,0,,0,,1,0,1,1,1,,0,1,1,1,1,11001,11,3,,1,,,,,,2023-09-15 10:05:24,1,12,1,1,1011628,2,1994,0,2006,487389,151575,51.25665,-0.7490615,Trust,Trust,Pay and Play,Public Access
1,2009248,4,2,95.0,10.0,3,15,1,0,0,,0,,1,0,1,1,1,,0,1,1,1,1,11001,11,3,,1,,,,,,2023-09-15 10:05:25,1,12,1,1,1011628,2,1975,0,2006,487389,151575,51.25665,-0.7490615,Trust,Trust,Pay and Play,Public Access
