Courts,Facility ID,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Surface Type,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
7,2021659,2,2,2,2,2,2,5,1,1,2016,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-06-26 10:33:20,1,12,1,1,1000508,2,1999,0,2006,446337,519359,54.56735,-1.284862,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021660,2,2,2,2,2,2,5,1,1,2016,0,,1,1,1,1,1,"Changing Facilities: Dedicated disabled changing rooms, Activity Areas: Lift, Toilets: Disabled toilets on each floor",1,1,1,0,1,4004,4,3,,1,,,,,,2023-05-18 21:39:41,1,12,1,1,1000510,2,1999,0,2016,358545,388051,53.38769,-2.624748,Commercial Management,Commercial,Registered Membership use,Public Access
4,2021661,2,2,2,2,2,2,1,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,4004,4,5,,1,,,,2013-10-01,,2024-03-11 11:51:16,0,12,1,1,1000675,3,1995,0,,593577,213524,51.78689,0.8052533,Not Known,Not Known,Pay and Play,Public Access
4,2021662,2,2,2,2,2,2,1,1,1,2005,2,999,0,0,0,0,0,,0,0,0,0,0,4003,4,5,,1,,,,2015-07-31,,2015-08-19 00:00:00,0,12,1,1,1000775,3,1999,0,,448158,165424,51.38583,-1.309322,Not Known,Not Known,Pay and Play,Public Access
3,2021664,2,2,2,2,2,2,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,Changing rooms were refurbished in 2005.,1,,,,,,2024-06-12 13:55:56,0,12,1,1,1000877,2,2015,0,,616196,246268,52.07257,1.15324,Sport Club,Others,Registered Membership use,Public Access
2,2021665,2,2,2,2,2,2,3,1,1,2003,0,,1,0,1,1,1,,0,1,1,0,0,4002,4,3,,1,,,,,,2023-09-15 12:19:09,1,12,1,1,1000968,2,1972,0,2017,595824,225467,51.89335,0.8445338,Commercial Management,Commercial,Registered Membership use,Public Access
8,2021666,2,2,2,2,2,2,5,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-01-30 08:20:09,0,12,1,1,1001039,2,1999,0,,376202,397081,53.46994,-2.359969,Commercial Management,Commercial,Registered Membership use,Public Access
6,2021668,2,2,2,2,2,2,5,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-11-08 15:13:19,0,12,1,1,1001351,2,2000,0,,341390,383941,53.34911,-2.881892,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021669,2,2,2,2,2,2,7,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,4002,4,3,,1,,,,,,2024-02-14 12:17:09,0,12,1,1,1001507,2,2003,0,,408151,93066,50.73714,-1.885849,Sport Club,Others,Registered Membership use,Public Access
4,2021670,2,2,2,2,2,2,1,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2024-02-14 12:17:09,0,12,1,1,1001507,2,1999,0,,408151,93066,50.73714,-1.885849,Sport Club,Others,Registered Membership use,Public Access
